species,period,LRT_p,PB_p,South,Flat,North
PICO,Germination,2.55351295663786e-15,0.001,a,b,b
PSME,Germination,5.549495313017516e-4,0.001,a,ab,b
PICO,Survival_yr1,1.0807699180048758e-10,9.99000999000999e-4,a,b,b
PSME,Survival_yr1,0.011256000369637142,0.01098901098901099,a,ab,b
PICO,Survival_yr2,5.31528709935003e-10,9.99000999000999e-4,a,b,c
PSME,Survival_yr2,0.0020449792373928855,0.005994005994005994,ab,a,b
PICO,Survival_1to2,0.24597599009527027,0.26673326673326675,a,a,a
PSME,Survival_1to2,4.94393965135842e-5,9.99000999000999e-4,ab,a,b
PICO,Establishment_yr1,0,0.001,a,b,c
PSME,Establishment_yr1,4.5452063086925953e-5,0.0010080645161290322,a,a,b
PICO,Establishment_yr2,0,9.99000999000999e-4,a,b,c
PSME,Establishment_yr2,2.874372727368346e-5,0.0010121457489878543,a,a,b
