species,period,term,estimate,lower,upper,LRT_p,lRT_p
PICO,Germination,Mois. (germ.),0.671,0.532,0.811,0,< 0.001
PICO,Germination,Temp. (germ.),0.951,0.784,1.125,0,< 0.001
PICO,Germination,SOM,NA,NA,NA,0.427,0.427
PICO,Survival_yr1,Veg.,-0.966,-1.261,-0.69,0,< 0.001
PICO,Survival_yr1,Temp. (yr 1),-0.305,-0.531,-0.083,0.545,0.545
PICO,Survival_yr1,Mois. (yr 1),NA,NA,NA,0,< 0.001
PICO,Survival_yr1,SOM,NA,NA,NA,0.012,0.012
PICO,Survival_yr1,N,NA,NA,NA,0.119,0.119
PICO,Survival_yr2,Veg.,-1.009,-1.377,-0.641,0.033,0.033
PICO,Survival_yr2,Mois. (yr 2),0.385,0.152,0.618,0.464,0.464
PICO,Survival_yr2,Temp. (yr 2),-0.419,-0.674,-0.165,0.006,0.006
PICO,Survival_yr2,Temp. (yr 1),NA,NA,NA,0.965,0.965
PICO,Survival_yr2,Mois. (yr 1),NA,NA,NA,0,< 0.001
PICO,Survival_yr2,SOM,NA,NA,NA,0.006,0.006
PICO,Survival_yr2,N,NA,NA,NA,0.001,0.001
PICO,Establishment_yr1,SOM,-0.955,-1.185,-0.733,0,< 0.001
PICO,Establishment_yr1,Temp. (yr 1),-0.771,-0.998,-0.548,0.138,0.138
PICO,Establishment_yr1,Mois. (yr 1),NA,NA,NA,0,< 0.001
PICO,Establishment_yr1,N,NA,NA,NA,0.005,0.005
PICO,Establishment_yr1,Veg.,NA,NA,NA,0,< 0.001
PICO,Establishment_yr2,SOM,-0.98,-1.216,-0.757,0,< 0.001
PICO,Establishment_yr2,Mois. (yr 2),0.802,0.616,0.994,0.031,0.031
PICO,Establishment_yr2,Temp. (yr 1),NA,NA,NA,0.08,0.08
PICO,Establishment_yr2,Mois. (yr 1),NA,NA,NA,0,< 0.001
PICO,Establishment_yr2,Temp. (yr 2),NA,NA,NA,0.012,0.012
PICO,Establishment_yr2,N,NA,NA,NA,0.005,0.005
PICO,Establishment_yr2,Veg.,NA,NA,NA,0.029,0.029
PSME,Germination,Mois. (germ.),0.455,0.254,0.653,0,< 0.001
PSME,Germination,Temp. (germ.),0.564,0.339,0.799,0.001,0.001
PSME,Germination,SOM,NA,NA,NA,0.14,0.14
PSME,Survival_yr1,SOM,0.424,0.037,0.811,0.374,0.374
PSME,Survival_yr1,Mois. (yr 1),0.719,0.152,1.285,0.015,0.015
PSME,Survival_yr1,Temp. (yr 1),-0.431,-0.857,-0.005,0,< 0.001
PSME,Survival_yr1,N,NA,NA,NA,0.641,0.641
PSME,Survival_yr1,Veg.,NA,NA,NA,0.571,0.571
PSME,Survival_yr2,Veg.,-1.294,-2.867,0.28,0.016,0.016
PSME,Survival_yr2,Temp. (yr 1),-1.581,-2.422,-0.739,0,< 0.001
PSME,Survival_yr2,Mois. (yr 2),1.156,0.46,1.851,0.217,0.217
PSME,Survival_yr2,Temp. (yr 2),-1.45,-2.262,-0.639,0.555,0.555
PSME,Survival_yr2,Mois. (yr 1),NA,NA,NA,0.021,0.021
PSME,Survival_yr2,SOM,NA,NA,NA,0.506,0.506
PSME,Survival_yr2,N,NA,NA,NA,0.501,0.501
PSME,Establishment_yr1,SOM,-0.802,-1.358,-0.247,0.064,0.064
PSME,Establishment_yr1,Temp. (yr 1),-1.031,-1.611,-0.452,0,< 0.001
PSME,Establishment_yr1,Veg.,-0.67,-1.185,-0.155,0.422,0.422
PSME,Establishment_yr1,Mois. (yr 1),NA,NA,NA,0.002,0.002
PSME,Establishment_yr1,N,NA,NA,NA,0.496,0.496
PSME,Establishment_yr2,Veg.,-1.325,-2.705,-0.412,0.013,0.013
PSME,Establishment_yr2,Mois. (yr 2),1.205,0.773,1.872,0.152,0.152
PSME,Establishment_yr2,Temp. (yr 1),NA,NA,NA,0,< 0.001
PSME,Establishment_yr2,Mois. (yr 1),NA,NA,NA,0.004,0.004
PSME,Establishment_yr2,Temp. (yr 2),NA,NA,NA,0.531,0.531
PSME,Establishment_yr2,SOM,NA,NA,NA,0.165,0.165
PSME,Establishment_yr2,N,NA,NA,NA,0.358,0.358
