species,period,n_models,term,log_odds,odds_ratio,unit
PICO,Germination,1,germ_mois,36.25744792969838,1.44,0.01
PICO,Germination,1,germ_temp,0.9833936640483197,2.67,1
PICO,Survival_yr1,1,veg,-0.03954357176979088,0.67,10
PICO,Survival_yr1,1,year1_temp,-0.1732752932773043,0.84,1
PICO,Survival_yr2,2,veg,-0.04128523759222488,0.66,10
PICO,Survival_yr2,2,year2_mois,13.982663417268087,1.15,0.01
PICO,Survival_yr2,2,year2_temp,-0.2685862523464967,0.76,1
PICO,Establishment_yr1,1,organic,-0.7440734190063958,0.48,1
PICO,Establishment_yr1,1,year1_temp,-0.43751882352480514,0.65,1
PICO,Establishment_yr2,1,organic,-0.7637379414572444,0.47,1
PICO,Establishment_yr2,1,year2_mois,29.111516092377514,1.34,0.01
PSME,Germination,1,germ_mois,24.555087362787962,1.28,0.01
PSME,Germination,1,germ_temp,0.5835150966056301,1.79,1
PSME,Survival_yr1,2,organic,0.3305894701564282,1.39,1
PSME,Survival_yr1,2,year1_mois,26.541760219819835,1.3,0.01
PSME,Survival_yr1,2,year1_temp,-0.24448358920396143,0.78,1
PSME,Survival_yr2,4,veg,-0.05293617051728992,0.59,10
PSME,Survival_yr2,4,year1_temp,-0.8972061934386978,0.41,1
PSME,Survival_yr2,4,year2_mois,41.9736259031364,1.52,0.01
PSME,Survival_yr2,4,year2_temp,-0.9288819216137265,0.39,1
PSME,Establishment_yr1,2,organic,-0.6250448326164026,0.54,1
PSME,Establishment_yr1,2,year1_temp,-0.5854070116273852,0.56,1
PSME,Establishment_yr1,2,veg,-0.0274209476107253,0.76,10
PSME,Establishment_yr2,1,veg,-0.05421287343005094,0.58,10
PSME,Establishment_yr2,1,year2_mois,43.76340924291677,1.55,0.01
