fire,aspect,veg,Sand,Silt,Clay,organic,N,germ_mois,germ_temp,year1_mois,year1_temp,year2_mois,year2_temp
Berry-Glade,Flat,27.4,44,43,13,2.4,0.097,0.12139113806188107,15.475000143051147,0.07737250998616219,17.72499942779541,0.10899113491177559,15.325000047683716
Berry-Glade,North,14.133333333333333,46,43,11,1.6,0.1,0.15907196328043938,14.549999952316284,0.07836170680820942,16.425000429153442,0.12801056914031506,14.575000047683716
Berry-Glade,South,40.4,48,42,10,2.2,0.105,0.10969014465808868,14.700000047683716,0.04108384810388088,17.862499952316284,0.09569406695663929,15.225000143051147
Berry-Huck,Flat,76,40,40,20,5.1,0.249,NaN,NaN,0.06479087565094233,14.825000047683716,0.12144934572279453,13.824999809265137
Berry-Huck,North,24.866666666666667,42,42,16,4.7,0.238,0.13549048826098442,13.375,0.05220736609771848,15.387500047683716,0.11400209553539753,13.325000047683716
Berry-Huck,South,65.46666666666667,34,48,18,3.2,0.076,0.11542782559990883,14.549999952316284,0.04701225855387747,16.237500071525574,0.11023701541125774,14.566666603088379
Buffalo,Flat,63,32,47,21,3.5,0.264,NaN,NaN,0.041253454983234406,16.833333333333332,0.09261875599622726,15
Buffalo,North,44.06666666666666,54,29,17,5,0.246,NaN,NaN,0.11317223807175954,12.099999904632568,0.20098476484417915,10.375000238418579
Buffalo,South,23.866666666666667,52,31,17,3.6,0.274,0.11174949755271275,14.233333269755045,0.061565873213112354,18.84999990463257,0.11044453456997871,15.949999809265137
Maple,Flat,2.8,54,38,8,1.8,0.243,NaN,NaN,0.09097201377153397,18.199999809265137,0.10092208348214626,16.624999523162842
Maple,North,7.2666666666666675,48,42,10,1.8,0.072,0.14219556003808975,13.550000190734863,0.11039949022233486,16.225000381469727,0.11133871413767338,14.474999904632568
Maple,South,5.133333333333334,40,52,8,1.9,0.082,0.15287042781710625,12.224999904632568,0.11466488614678383,17.024999618530273,0.12341823615133762,15.575000047683716
