species,period,aspect,mean,se
PICO,Germination,South,0.07,0.03
PICO,Germination,Flat,0.15,0.06
PICO,Germination,North,0.19,0.05
PICO,Survival_yr1,South,0.2,NA
PICO,Survival_yr1,Flat,0.49,0.15
PICO,Survival_yr1,North,0.56,0.06
PICO,Survival_yr2,South,0.19,NA
PICO,Survival_yr2,Flat,0.42,0.12
PICO,Survival_yr2,North,0.51,0.07
PICO,Survival_1to2,South,0.92,NA
PICO,Survival_1to2,Flat,0.89,0.06
PICO,Survival_1to2,North,0.91,0.07
PICO,Establishment_yr1,South,0.01,0
PICO,Establishment_yr1,Flat,0.07,0.04
PICO,Establishment_yr1,North,0.11,0.04
PICO,Establishment_yr2,South,0.01,0
PICO,Establishment_yr2,Flat,0.06,0.03
PICO,Establishment_yr2,North,0.11,0.04
PSME,Germination,South,0.04,0.01
PSME,Germination,Flat,0.05,0.01
PSME,Germination,North,0.08,0.02
PSME,Survival_yr1,South,0.11,0.09
PSME,Survival_yr1,Flat,0.19,0.08
PSME,Survival_yr1,North,0.31,0.12
PSME,Survival_yr2,South,0.09,0.09
PSME,Survival_yr2,Flat,0.05,0.04
PSME,Survival_yr2,North,0.24,0.11
PSME,Survival_1to2,South,0.5,NA
PSME,Survival_1to2,Flat,0.26,NA
PSME,Survival_1to2,North,0.72,0.11
PSME,Establishment_yr1,South,0,0
PSME,Establishment_yr1,Flat,0.01,0.01
PSME,Establishment_yr1,North,0.03,0.01
PSME,Establishment_yr2,South,0,0
PSME,Establishment_yr2,Flat,0,0
PSME,Establishment_yr2,North,0.02,0.01
