site,species,period,fire,aspect,value
Berry-Glade_Flat,PICO,Survival,Berry-Glade,Flat,0.9605331091165883
Berry-Glade_North,PICO,Survival,Berry-Glade,North,1.0631798489639945
Berry-Glade_South,PICO,Survival,Berry-Glade,South,0.2278156968537372
Berry-Huck_Flat,PICO,Survival,Berry-Huck,Flat,0.38643269014032094
Berry-Huck_North,PICO,Survival,Berry-Huck,North,0.45698885655414406
Berry-Huck_South,PICO,Survival,Berry-Huck,South,0.16422691920220345
Buffalo_Flat,PICO,Survival,Buffalo,Flat,0.9424777960769379
Buffalo_North,PICO,Survival,Buffalo,North,0.7714604810954886
Buffalo_South,PICO,Survival,Buffalo,South,0
Maple_Flat,PICO,Survival,Maple,Flat,0.851277697341276
Maple_North,PICO,Survival,Maple,North,1.1110705660920925
Maple_South,PICO,Survival,Maple,South,0.3141592653589793
